Oh,  Pretty Woman, Roy Orbison
Can't Take My Eyes Off You, Andy Williams,
Respect, Aretha Franklin,
I Say a Little Prayer, Aretha Franklin,
Stand By Me, Ben E. King,
Piece of My Heart, Big Brother and the Holding Company,
Like a Rolling Stone, Bob Dylan,
Blowin' in the Wind, Bob Dylan,
The Twist, Chubby Checker,
Johnny B. Goode, Chuck Berry,
Sunshine of Your Love, Cream,
Space Oddity, David Bowie,
Can't Help Falling in Love, Elvis Presley,
Suspicious Minds, Elvis Presley,
Proud Mary, Ike & Tina Turner,
I Got You (I Feel Good), James Brown,
Somebody to Love, Jefferson Airplane,
What a Wonderful World, Louis Armstrong,
Dancing in the Street, Martha and the Vandellas,
I Heard It Through the Grapevine, Marvin Gaye,
Sweet Caroline, Neil Diamond,
(Sittin' On) The Dock of the Bay, Otis Redding,
Crazy, Patsy Cline,
A Whiter Shade of Pale, Procol Harum,
Georgia on My Mind, Ray Charles,
Mrs. Robinson, Simon & Garfunkel,
The Sound of Silence, Simon & Garfunkel,
I Got You Babe, Sonny & Cher,
Born to Be Wild, Steppenwolf,
For Once in My Life, Stevie Wonder,
Aquarius/Let the Sunshine In (The Flesh Failures), The 5th Dimension,
House of the Rising Sun, The Animals,
Good Vibrations, The Beach Boys,
Hey Jude, The Beatles,
Yesterday, The Beatles,
A Day in the Life, The Beatles,
Let It Be, The Beatles,
Help!, The Beatles,
Twist and Shout, The Beatles,
I Want to Hold Your Hand, The Beatles,
All You Need Is Love, The Beatles,
Strawberry Fields Forever, The Beatles,
Eight Miles High, The Byrds,
Light My Fire, The Doors,
Under the Boardwalk, The Drifters,
I Want You Back, The Jackson 5,
All Along the Watchtower, The Jimi Hendrix Experience,
You Really Got Me, The Kinks,
California Dreamin', The Mamas & the Papas,
The Tracks of My Tears, The Miracles,
I'm a Believer, The Monkees,
Unchained Melody, The Righteous Brothers,
You've Lost That Lovin' Feelin', The Righteous Brothers,
I Can't Get No Satisfaction, The Rolling Stones,
Brown Sugar, The Rolling Stones,
Paint It Black, The Rolling Stones,
Be My Baby, The Ronettes,
My Girl, The Temptations,
My Generation, The Who,
Brown Eyed Girl, Van Morrison,
In the Midnight Hour, Wilson Pickett,
